Brand,Car Name,Price_Lakh,Emi_From,Distance Driven,Fuel Type,Transmission,Features,Location
Mahindra,XUV500,7.93e-05,15503.0,"66,595 km",Diesel,Automatic,Reg. serviced,Mumbai
Mahindra,Thar,0.0001449,27580.0,"11,951 km",Petrol,Automatic,Top Model,Mumbai
Mahindra,Thar,0.0001403,26705.0,"10,637 km",Petrol,Automatic,Alloy wheels,Mumbai
Mahindra,XUV500,6.900000000000001e-05,15349.0,"40,435 km",Diesel,Manual,Spl. reg. no.,Mumbai
Mahindra,XUV500,9.75e-05,18558.0,"67,404 km",Diesel,Manual,Reg. serviced,Mumbai
Mahindra,XUV500,0.0001115,21223.0,"57,449 km",Diesel,Automatic,Sunroof,Mumbai
Mahindra,XUV500,0.00010269999999999999,19548.0,"85,662 km",Diesel,Automatic,Spl. reg. no.,Mumbai
Mahindra,XUV300,7.48e-05,14624.0,"39,094 km",Petrol,Manual,Safety specs.,Mumbai
Mahindra,XUV500,0.0001032,19643.0,"84,800 km",Diesel,Automatic,Sunroof,Mumbai
Mahindra,XUV300,0.0001116,21242.0,"11,461 km",Diesel,Automatic,Sunroof,Mumbai
Mahindra,XUV300,0.00010439999999999999,19872.0,"41,278 km",Petrol,Automatic,Top Model,Mumbai
Mahindra,XUV300,9.400000000000001e-05,17898.0,"13,010 km",Petrol,Automatic,Sunroof,Mumbai
Mahindra,XUV300,0.00010039999999999999,19110.0,"16,454 km",Diesel,Manual,Sunroof,Mumbai
Mahindra,TUV300,6.41e-05,12532.0,"45,368 km",Diesel,Manual,100% tyre life,Mumbai
Mahindra,XUV300,8.66e-05,16484.0,"51,938 km",Diesel,Manual,Top Model,Mumbai
Mahindra,XUV500,0.00010960000000000001,20861.0,"76,206 km",Diesel,Manual,Top Model,Mumbai
Mahindra,XUV500,0.000111,21128.0,"36,090 km",Diesel,Automatic,Sunroof,Mumbai
Mahindra,XUV300,8.769999999999999e-05,16693.0,"18,255 km",Petrol,Automatic,Spl. reg. no.,Mumbai
Mahindra,XUV500,0.0001086,20671.0,"88,400 km",Diesel,Automatic,Spl. reg. no.,Pune
Mahindra,XUV300,9.960000000000001e-05,18958.0,"19,587 km",Petrol,Manual,Top Model,Pune
Mahindra,XUV500,7.21e-05,14097.0,"65,642 km",Diesel,Manual,Safety specs.,Pune
Mahindra,XUV500,5.769999999999999e-05,19151.0,"98,876 km",Diesel,Manual,Alloy wheels,Pune
Mahindra,XUV500,0.0001381,26286.0,"52,868 km",Diesel,Automatic,Sunroof,Pune
Mahindra,XUV300,9.38e-05,17854.0,"44,281 km",Petrol,Manual,Top Model,Pune
Mahindra,XUV300,0.0001132,21547.0,"11,285 km",Petrol,Manual,Top Model,Pune
Mahindra,XUV300,8.98e-05,17093.0,"7,648 km",Petrol,Manual,Sunroof,Pune
Mahindra,XUV300,0.0001105,21033.0,"19,363 km",Petrol,Manual,Top Model,Pune
Mahindra,XUV300,0.00012560000000000002,23907.0,"12,992 km",Petrol,Automatic,Sunroof,Pune
Mahindra,XUV300,0.0001265,24078.0,"28,830 km",Diesel,Automatic,Top Model,Pune
Mahindra,XUV300,0.00010539999999999999,20062.0,"27,247 km",Petrol,Automatic,Top Model,Pune
Mahindra,XUV300,9.640000000000001e-05,18349.0,"39,024 km",Diesel,Manual,Top Model,Pune
Mahindra,XUV300,0.0001123,21375.0,"19,237 km",Petrol,Automatic,Top Model,Pune
Mahindra,XUV300,9.09e-05,17302.0,"70,963 km",Diesel,Manual,Spl. reg. no.,Pune
Mahindra,XUV700,0.0002575,49013.0,"18,679 km",Diesel,Automatic,Sunroof,Pune
Mahindra,XUV300,9.88e-05,18806.0,"29,321 km",Diesel,Automatic,Reg. serviced,Pune
Mahindra,XUV700,0.00022030000000000002,41932.0,"13,886 km",Petrol,Automatic,Top Model,Pune
Mahindra,XUV700,0.0001798,34223.0,"16,335 km",Petrol,Automatic,Spl. reg. no.,Pune
Mahindra,XUV500,7.599999999999999e-05,16911.0,"64,832 km",Diesel,Manual,100% tyre life,Pune
Mahindra,Thar,0.0001452,27637.0,"20,266 km",Petrol,Manual,Spl. reg. no.,Hyderabad
Mahindra,Thar,0.00013890000000000002,26438.0,"24,914 km",Diesel,Automatic,Alloy wheels,Hyderabad
Mahindra,XUV700,0.00018350000000000002,34928.0,"28,911 km",Diesel,Manual,Spl. reg. no.,Hyderabad
Mahindra,XUV300,9.88e-05,18806.0,"12,315 km",Petrol,Manual,Top Model,Hyderabad
Mahindra,XUV300,9.41e-05,17911.0,"42,431 km",Petrol,Manual,Top Model,Hyderabad
Mahindra,Scorpio,8.800000000000001e-05,16750.0,"86,360 km",Diesel,Manual,Safety specs.,Hyderabad
Mahindra,Thar,0.0001252,23837.0,"32,709 km",Petrol,Automatic,Alloy wheels,Hyderabad
Mahindra,BOLERO,0.00010570000000000001,20119.0,"64,550 km",Diesel,Manual,Top Model,Hyderabad
Mahindra,XUV500,0.0001342,25544.0,"86,802 km",Diesel,Automatic,Top Model,Hyderabad
Mahindra,Scorpio,8.82e-05,16788.0,"94,899 km",Diesel,Manual,Safety specs.,Hyderabad
Mahindra,Thar,7.5e-05,14655.0,"77,883 km",Diesel,Manual,Alloy wheels,Hyderabad
Mahindra,Thar,0.00013230000000000002,25177.0,"24,797 km",Petrol,Automatic,Alloy wheels,Hyderabad
Mahindra,XUV300,8.130000000000001e-05,15475.0,"41,116 km",Petrol,Manual,Reg. serviced,Hyderabad
Mahindra,KUV,5.34e-05,10444.0,"44,303 km",Petrol,Manual,Top Model,Hyderabad
Mahindra,XUV500,0.0001252,23831.0,"94,607 km",Diesel,Manual,100% tyre life,Hyderabad
Mahindra,XUV300,0.00011679999999999999,22228.0,"38,401 km",Diesel,Manual,Top Model,Hyderabad
Mahindra,XUV300,7.25e-05,14175.0,"38,833 km",Petrol,Manual,Reg. serviced,Hyderabad
Mahindra,XUV300,9.99e-05,19015.0,"3,529 km",Petrol,Manual,Sunroof,Hyderabad
Mahindra,XUV300,8.52e-05,16226.0,"32,115 km",Petrol,Manual,Top Model,Hyderabad
Mahindra,XUV500,0.0001301,24758.0,"88,544 km",Diesel,Manual,Top Model,Chennai
Mahindra,SCORPIO-N,0.000224,42636.0,"23,936 km",Diesel,Manual,Top Model,Chennai
Mahindra,Thar,0.0001492,28399.0,"9,448 km",Petrol,Automatic,Top Model,Chennai
Mahindra,XUV300,0.0001136,21623.0,"20,293 km",Petrol,Automatic,Top Model,Chennai
Mahindra,XUV300,9.71e-05,18482.0,"37,824 km",Petrol,Manual,Spl. reg. no.,Chennai
Mahindra,XUV500,0.00011640000000000001,25308.0,"1,09,163 km",Diesel,Manual,Reg. serviced,Chennai
Mahindra,XUV300,9.92e-05,18878.0,899 km,Petrol,Manual,Sunroof,Chennai
Mahindra,XUV300,0.000119,22651.0,"14,420 km",Diesel,Manual,Spl. reg. no.,Chennai
Mahindra,XUV300,8.099999999999999e-05,15418.0,"45,546 km",Petrol,Manual,Reg. serviced,Chennai
Mahindra,XUV300,0.0001086,20671.0,"27,597 km",Diesel,Manual,Top Model,Chennai
Mahindra,XUV300,9.630000000000001e-05,18330.0,"9,646 km",Petrol,Manual,Sunroof,Chennai
Mahindra,XUV300,9.19e-05,17492.0,"30,536 km",Petrol,Manual,Top Model,Chennai
Mahindra,Kuv100,4.38e-05,8566.0,"45,332 km",Petrol,Manual,Top Model,Chennai
Mahindra,Thar,0.0001514,28818.0,"20,686 km",Petrol,Automatic,Top Model,Chennai
Mahindra,XUV300,9.640000000000001e-05,18341.0,"4,111 km",Petrol,Automatic,Sunroof,Chennai
Mahindra,KUV,4.94e-05,9650.0,"40,510 km",Petrol,Manual,Safety specs.,Chennai
Mahindra,Kuv100,4.07e-05,7967.0,"16,621 km",Petrol,Manual,Reg. serviced,Chennai
Mahindra,XUV500,0.00012859999999999998,24478.0,"48,772 km",Diesel,Manual,Reg. serviced,Chennai
Mahindra,Thar,0.0001496,28475.0,"5,285 km",Petrol,Automatic,Spl. reg. no.,Chennai
Mahindra,XUV300,7.61e-05,14878.0,"27,084 km",Petrol,Manual,Safety specs.,Chennai
